8,Matthew Dellavedova\dellama01,PG,6-4,198,September 8 1990,au,3,Saint Mary's College of California
7,Thon Maker\makerth01,PF,7-1,216,February 25 1997,ss,R,
13,Malcolm Brogdon\brogdma01,SG,6-5,215,December 11 1992,us,R,University of Virginia
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,4,Duke University
3,Jason Terry\terryja01,SG,6-2,185,September 15 1977,us,17,University of Arizona
6,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,10,Marquette University

5,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,3,University of Georgia
25,Reggie Bullock\bullore01,SF,6-7,205,March 16 1991,us,3,University of North Carolina
13,Marcus Morris\morrima03,SF,6-9,235,September 2 1989,us,5,University of Kansas
7,Stanley Johnson\johnsst04,SF,6-7,245,May 29 1996,us,1,University of Arizona
12,Aron Baynes\baynear01,C,6-10,260,December 9 1986,nz,4,Washington State University
34,Tobias Harris\harrito02,PF,6-9,235,July 15 1992,us,5,University of Tennessee
1,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,5,Boston College
6,Darrun Hilliard\hillida01,SG,6-6,205,April 13 1993,us,1,Villanova University
30,Jon Leuer\leuerjo01,PF,6-10,228,May 14 1989,us,5,University of Wisconsin
14,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,6,Wake Forest University
0,Andre Drummond\drumman01,C,6-11,279,August 10 1993,us,4,University of Connecticut
51,Boban Marjanovic\marjabo01,C,7-3,290,August 15 1988,rs,1,
9,Michael Gbinije\gbinimi01,SG,6-7,200,June 5 1992,us,R,Syracuse University
8,Henry Ellenson\ellenhe01,PF,6-11,245,January 13 1997,us,R,Marquette University
19,Beno Udrih\udrihbe01,PG,6-3,205,July 5 1982,si,12,

0,C.J. Miles\milescj01,SF,6-6,225,April 18 1987,us,11,
13,Paul George\georgpa01,SF,6-9,220,May 2 1990,us,6,California State University Fresno
44,Jeff Teague\teaguje01,PG,6-2,186,June 10 1988,us,7,Wake Forest University
33,Myles Turner\turnemy01,C,6-11,243,March 24 1996,us,1,University of Texas at Austin
21,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,9,Georgia Institute of Technology
11,Monta Ellis\ellismo01,SG,6-3,185,October 26 1985,us,11,
5,Lavoy Allen\allenla01,PF,6-9,260,February 4 1989,us,5,Temple University
2,Rodney Stuckey\stuckro01,PG,6-5,210,April 21 1986,us,9,Eastern Washington University
40,Glenn Robinson III\robingl02,SF,6-6,222,January 8 1994,us,2,University of Michigan
25,Rakeem Christmas\chrisra01,PF,6-9,250,December 1 1991,us,1,Syracuse University
3,Joe Young\youngjo01,PG,6-2,180,June 27 1992,us,1,University of Oregon
7,Al Jefferson\jeffeal01,C,6-10,289,January 4 1985,us,12,
32,Georges Niang\niangge01,PF,6-8,230,June 17 1993,us,R,Iowa State University
00,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,8,University of Oregon
1,Kevin Seraphin\serapke01,PF,6-9,285,December 7 1989,gf,6,

21,Andre Roberson\roberan03,SF,6-7,210,December 4 1991,us,3,University of Colorado
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,8,University of California Los Angeles
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,12,University of Kansas
12,Steven Adams\adamsst01,C,7-0,255,July 20 1993,nz,3,University of Pittsburgh
5,Victor Oladipo\oladivi01,SG,6-4,210,May 4 1992,us,3,Indiana University
2,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,8,Georgia Institute of Technology
9,Jerami Grant\grantje01,SF,6-8,210,March 12 1994,us,2,Syracuse University
77,Joffrey Lauvergne\lauvejo01,C,6-11,220,September 30 1991,fr,2,
22,Cameron Payne\payneca01,PG,6-3,185,August 8 1994,us,1,Murray State University
15,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,4,Duke University
11,Enes Kanter\kanteen01,C,6-11,245,May 20 1992,ch,5,
34,Josh Huestis\huestjo01,PF,6-7,230,December 19 1991,us,1,Stanford University
8,Alex Abrines\abrinal01,SG,6-6,190,August 1 1993,es,R,
3,Domantas Sabonis\sabondo01,PF,6-11,240,May 3 1996,us,R,Gonzaga University
6,Semaj Christon\chrisse01,PG,6-3,190,November 1 1992,us,R,Xavier University

8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,5,Butler University
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,3,
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,8,Indiana University-Purdue University Indianapolis
33,Boris Diaw\diawbo01,PF,6-8,250,April 16 1982,fr,13,
15,Derrick Favors\favorde01,PF,6-10,265,July 15 1991,us,6,Georgia Institute of Technology
20,Gordon Hayward\haywago01,SF,6-8,226,March 23 1990,us,6,Butler University
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,5,University of Colorado
11,Dante Exum\exumda01,PG,6-6,190,July 13 1995,au,1,
5,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,2,Duke University
41,Trey Lyles\lylestr01,PF,6-10,234,November 5 1995,ca,1,University of Kentucky
2,Joe Ingles\inglejo01,SF,6-8,226,October 2 1987,au,2,
25,Raul Neto\netora01,PG,6-1,179,May 19 1992,br,1,
24,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,3,University of Kansas
6,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,15,University of Arkansas
21,Joel Bolomboy\bolomjo01,PF,6-9,235,January 28 1994,ua,R,Weber State University

24,Mason Plumlee\plumlma01,C,6-11,245,March 5 1990,us,3,Duke University
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,4,Weber State University
3,C.J. McCollum\mccolcj01,SG,6-4,200,September 19 1991,us,3,Lehigh University
6,Shabazz Napier\napiesh01,PG,6-1,175,July 14 1991,us,2,University of Connecticut
21,Noah Vonleh\vonleno01,PF,6-10,240,August 24 1995,us,2,Indiana University
8,Al-Farouq Aminu\aminual01,SF,6-9,220,September 21 1990,us,6,Wake Forest University
17,Ed Davis\davised01,PF,6-10,240,June 5 1989,us,6,University of North Carolina
5,Pat Connaughton\connapa01,SG,6-5,206,January 6 1993,us,1,University of Notre Dame
1,Evan Turner\turneev01,SG,6-7,220,October 27 1988,us,6,Ohio State University
23,Allen Crabbe\crabbal01,SG,6-6,210,April 9 1992,us,3,University of California
10,Jake Layman\laymaja01,SF,6-9,210,March 7 1994,us,R,University of Maryland
11,Meyers Leonard\leoname01,PF,7-1,245,February 27 1992,us,4,University of Illinois at Urbana-Champaign
31,Festus Ezeli\ezelife01,C,6-11,255,October 21 1989,ng,3,Vanderbilt University
4,Maurice Harkless\harklma01,SF,6-9,215,May 11 1993,us,4,St. John's University
